"","created_on","l5","bedrooms","bathrooms","surface_total","surface_covered","price","property_type"
"18","2021-06-03","Lince",2,2,75,75,120000,"Departamento"
"38","2021-06-03","Santiago de Surco",4,3,180,230,315000,"Departamento"
"113","2021-06-17","San Juan de Miraflores",4,2,206,160,240000,"Casa"
"114","2021-06-17","Lurigancho",11,8,320,121,260000,"Casa"
"115","2021-06-17","San Juan de Miraflores",5,4,300,200,260000,"Casa"
"119","2021-06-17","Santiago de Surco",3,2,102,102,150000,"Departamento"
"120","2021-06-17","Santiago de Surco",2,2,110,110,228000,"Departamento"
"121","2021-06-17","Miraflores",3,2,110,110,165000,"Departamento"
"122","2021-06-17","Jesús María",3,2,90,95,145000,"Departamento"
"125","2021-06-17","Miraflores",2,2,103,103,228000,"Departamento"
"439","2021-07-24","San Miguel",12,6,411,411,460000,"Departamento"
"440","2021-07-24","Pachacamac",2,1,60,600,57000,"Departamento"
"441","2021-07-24","Surquillo",3,2,70,74,148000,"Departamento"
"442","2021-07-24","Miraflores",1,2,60,60,168000,"Departamento"
"602","2021-02-13","Barranco",3,2,76,76,135000,"Departamento"
"611","2021-02-13","San Martín de Porres",3,3,110,110,103000,"Departamento"
"1252","2021-06-18","Lince",2,2,92,92,173000,"Departamento"
"1253","2021-06-18","La Molina",5,4,320,580,800000,"Casa"
"1255","2021-06-18","Miraflores",3,4,100,100,220000,"Departamento"
"1257","2021-06-18","San Miguel",2,1,82,82,85000,"Departamento"
"1258","2021-06-18","Santiago de Surco",3,3,280,280,380000,"Departamento"
"1262","2021-06-18","San Juan de Miraflores",2,1,42,42,27500,"Departamento"
"1263","2021-06-18","San Juan de Miraflores",2,1,42,42,26000,"Departamento"
"1347","2021-02-27","Rímac",3,2,84,80,98000,"Departamento"
"1417","2021-02-27","Cieneguilla",4,8,1000,6512,2490000,"Departamento"
"1467","2021-07-10","Comas",3,1,57,57,45000,"Departamento"
"1469","2021-07-10","Miraflores",2,1,97,97,165000,"Departamento"
"1470","2021-07-10","Miraflores",3,2,109,109,235000,"Departamento"
"1472","2021-07-10","Rímac",3,2,140,140,130000,"Casa"
"1473","2021-07-10","San Isidro",5,3,376,652,1250000,"Casa"
"1475","2021-07-10","San Juan de Miraflores",4,3,150,150,120000,"Casa"
"1476","2021-07-10","Ate",6,5,590,173,400000,"Casa"
"1526","2021-07-23","Los Olivos",7,5,240,260,190000,"Casa"
"1528","2021-07-23","Miraflores",1,2,60,60,185000,"Departamento"
"1529","2021-07-23","San Miguel",2,2,60,60,95000,"Departamento"
"1530","2021-07-23","Surquillo",2,2,55,65,115000,"Departamento"
"1531","2021-07-23","Pueblo Libre",3,2,80,80,115000,"Departamento"
"1534","2021-07-23","Magdalena Del Mar",3,2,90,90,155000,"Departamento"
"1535","2021-07-23","Lince",3,3,90,90,250000,"Departamento"
"1536","2021-07-23","La Molina",5,7,462,394,1200000,"Casa"
"1692","2021-06-02","La Molina",3,2,138,138,170000,"Departamento"
"1735","2021-01-19","Miraflores",3,2,184,86,315000,"Casa"
"1763","2021-01-19","San Juan de Lurigancho",5,3,200,76,125000,"Casa"
"1766","2021-01-19","San Juan de Miraflores",4,2,206,160,240000,"Casa"
"2008","2021-01-19","San Borja",3,2,173,173,310000,"Departamento"
"2014","2021-01-19","Surquillo",2,2,50,50,135000,"Departamento"
"2020","2021-01-19","Los Olivos",3,2,117,234,118000,"Departamento"
"2028","2021-01-19","Miraflores",2,2,93,93,200000,"Departamento"
"2066","2021-01-19","San Miguel",3,2,76,76,129000,"Departamento"
"2089","2021-01-19","Magdalena Del Mar",3,3,106,106,180000,"Departamento"
"2107","2021-01-19","Santiago de Surco",3,4,232,236,510000,"Departamento"
"2112","2021-01-19","Santiago de Surco",3,3,164,219,400000,"Departamento"
"2332","2021-02-12","San Miguel",3,2,86,86,120000,"Departamento"
"2351","2021-02-12","Magdalena Del Mar",3,2,86,86,145000,"Departamento"
"2368","2021-02-12","Santiago de Surco",4,2,97,97,110000,"Departamento"
"2374","2021-02-12","San Juan de Lurigancho",4,4,165,50,170000,"Casa"
"2478","2021-06-16","San Martín de Porres",8,4,548,200,220000,"Casa"
"2486","2021-06-16","Santiago de Surco",3,3,185,267,240000,"Departamento"
"2487","2021-06-16","Santiago de Surco",3,3,180,90,220000,"Departamento"
"2488","2021-06-16","San Miguel",3,2,81,81,115000,"Departamento"
"2489","2021-06-16","Surquillo",3,2,96,96,170000,"Departamento"
"2490","2021-06-16","Chorrillos",3,2,85,97,135000,"Departamento"
"2821","2021-02-11","Lince",3,1,66,66,110000,"Departamento"
"2862","2021-02-11","Carabayllo",15,10,330,120,150000,"Casa"
"2905","2021-02-11","San Isidro",3,4,185,185,320000,"Departamento"
"2909","2021-02-11","San Miguel",3,2,100,136,115000,"Casa"
"2929","2021-02-11","Jesús María",2,2,77,76,130000,"Departamento"
"2931","2021-02-11","Jesús María",3,1,78,50,80000,"Departamento"
"2963","2021-02-11","Santiago de Surco",3,2,90,90,165000,"Departamento"
"2994","2021-02-11","Villa María del Triunfo",6,6,380,200,95000,"Casa"
"2995","2021-02-11","Villa María del Triunfo",6,6,380,200,95000,"Casa"
"3208","2021-02-26","San Isidro",3,1,101,101,178000,"Departamento"
"3214","2021-02-26","Lima Cercado",3,2,67,67,75000,"Departamento"
"3237","2021-02-26","Chaclacayo",4,5,400,1003,719000,"Casa"
"3536","2021-01-05","Miraflores",2,2,100,100,245000,"Departamento"
"3644","2021-01-05","San Borja",4,4,188,287,375000,"Departamento"
"3648","2021-01-05","San Isidro",4,4,375,223,1275000,"Casa"
"3680","2021-01-05","San Luis",10,9,866,380,850000,"Casa"
"4048","2021-01-18","Santiago de Surco",3,2,100,100,178000,"Departamento"
